(0.2, 0.0, 0.4)(47.5, 295.5, 14.8)
(0.2, 0.0, 0.4)(45.6, 242.0, 177.9)
(0.1, 0.0, 0.4)(35.8, 295.5, 21.7)
(0.1, 0.0, 0.4)(45.7, 297.1, 15.9)
(0.1, 0.0, 0.4)(35.0, 296.5, 24.5)
(0.1, 0.0, 0.4)(33.3, 296.3, 23.9)
(0.1, 0.0, 0.4)(32.8, 295.1, 26.6)
(0.1, 0.0, 0.4)(33.2, 294.4, 23.5)
(0.1, 0.0, 0.4)(348.8, 121.8, 146.8)
(0.1, 0.0, 0.4)(34.5, 292.6, 19.7)
(0.1, 0.0, 0.4)(31.7, 291.6, 25.0)
(0.1, 0.0, 0.4)(29.1, 288.8, 18.3)
(0.1, 0.0, 0.4)(27.4, 290.4, 22.9)
(0.1, 0.0, 0.4)(27.3, 289.4, 17.8)
(0.1, 0.0, 0.4)(26.8, 290.0, 18.3)
(0.1, 0.0, 0.4)(26.8, 290.0, 18.3)
(0.1, 0.0, 0.4)(26.1, 289.2, 17.5)
(0.1, 0.0, 0.4)(27.5, 288.4, 14.9)
(0.1, 0.0, 0.4)(27.0, 289.3, 20.1)
(0.1, 0.0, 0.4)(38.6, 242.9, 187.2)
(0.1, 0.0, 0.4)(25.7, 287.6, 15.3)
(0.1, 0.0, 0.4)(25.9, 288.5, 18.6)
(0.1, 0.0, 0.4)(24.8, 287.5, 15.2)
(0.1, 0.0, 0.4)(23.3, 287.2, 14.2)
(0.1, 0.0, 0.4)(22.6, 288.2, 14.8)
(0.1, 0.0, 0.4)(22.1, 289.4, 13.9)
(0.1, 0.0, 0.4)(22.6, 289.2, 14.5)
(0.1, 0.0, 0.4)(21.4, 289.1, 15.3)
(0.1, 0.0, 0.4)(24.1, 290.5, 17.9)
(0.1, 0.0, 0.4)(12.4, 282.3, 9.6)
(0.1, 0.0, 0.4)(23.5, 289.3, 15.3)
(0.1, 0.0, 0.4)(23.5, 289.7, 17.2)
(0.1, 0.0, 0.4)(22.2, 289.3, 15.2)
(0.1, 0.0, 0.4)(21.4, 288.5, 14.1)
(0.1, 0.0, 0.4)(20.4, 288.4, 12.8)
(0.1, 0.0, 0.4)(25.2, 286.2, 2.4)
(0.1, 0.0, 0.4)(17.9, 289.0, 11.2)
(0.1, 0.0, 0.4)(17.1, 288.7, 11.4)
(0.1, 0.0, 0.4)(5.5, 284.2, 7.0)
(0.1, 0.0, 0.4)(15.5, 288.8, 12.2)
(0.1, 0.0, 0.4)(14.4, 290.0, 14.9)
(0.1, 0.0, 0.4)(10.2, 289.0, 12.3)
(0.1, 0.0, 0.4)(16.9, 290.8, 12.5)
(0.1, 0.0, 0.4)(16.0, 290.3, 9.3)
(0.1, 0.0, 0.4)(354.4, 283.0, 0.1)
(0.1, 0.0, 0.4)(7.4, 287.8, 6.3)
(0.1, 0.0, 0.4)(12.4, 289.3, 6.7)
(0.1, 0.0, 0.4)(8.2, 288.2, 7.3)
(0.1, 0.0, 0.4)(11.2, 287.6, 5.6)
(0.1, 0.0, 0.4)(15.8, 289.6, 8.9)
(0.1, 0.0, 0.4)(18.1, 289.3, 7.9)
(0.1, 0.0, 0.4)(18.9, 288.4, 8.9)
(0.1, 0.0, 0.4)(357.1, 125.2, 154.7)
(0.1, 0.0, 0.4)(23.7, 289.9, 16.1)
(0.1, 0.0, 0.4)(27.0, 290.8, 18.5)
(0.1, 0.0, 0.4)(20.9, 236.2, 172.7)
(0.1, 0.0, 0.4)(29.5, 289.8, 15.7)
(0.1, 0.0, 0.4)(30.1, 291.0, 17.5)
(0.1, 0.0, 0.4)(28.9, 290.8, 15.6)
(0.1, 0.0, 0.4)(30.0, 292.8, 21.7)
(0.1, 0.0, 0.4)(29.7, 290.2, 15.0)
(0.1, 0.0, 0.4)(31.4, 289.6, 14.8)
(0.1, 0.0, 0.4)(33.1, 291.9, 20.2)
(0.1, 0.0, 0.4)(33.1, 291.9, 20.2)
(0.1, 0.0, 0.4)(31.1, 291.4, 20.3)
(0.1, 0.0, 0.4)(30.0, 289.1, 16.9)
