(-0.2, 0.0, -0.1)(37.8, 122.7, 12.0)
(-0.2, 0.0, -0.1)(38.0, 119.5, 5.2)
(-0.2, 0.0, -0.1)(40.5, 122.6, 8.2)
(-0.2, 0.0, -0.1)(40.5, 122.6, 8.2)
(-0.2, 0.0, -0.1)(37.4, 126.5, 10.5)
(-0.2, 0.0, -0.1)(37.3, 131.3, 15.9)
(-0.2, 0.0, -0.1)(36.2, 134.9, 19.9)
(-0.2, 0.0, -0.1)(35.1, 136.3, 19.0)
(-0.2, 0.0, -0.1)(33.9, 144.4, 20.0)
(-0.2, 0.0, -0.1)(30.5, 151.6, 22.9)
(-0.2, 0.0, -0.1)(33.2, 109.2, 176.0)
(-0.2, 0.0, -0.1)(28.9, 159.9, 20.1)
(-0.2, 0.0, -0.1)(31.4, 182.3, 28.6)
(-0.2, 0.0, -0.1)(25.4, 188.7, 11.1)
(-0.2, 0.0, -0.1)(25.2, 197.5, 9.7)
(-0.2, 0.0, -0.1)(27.2, 205.5, 7.6)
(-0.2, 0.0, -0.1)(27.5, 208.6, 5.7)
(-0.2, 0.0, -0.1)(24.5, 213.0, 15.1)
(-0.2, 0.0, -0.1)(39.2, 212.2, 359.8)
(-0.2, 0.0, -0.1)(27.9, 215.1, 10.1)
(-0.2, 0.0, -0.1)(35.0, 214.1, 10.5)
(-0.2, 0.0, -0.1)(37.9, 214.2, 4.2)
(-0.2, 0.0, -0.1)(33.9, 214.1, 351.7)
(-0.2, 0.0, -0.1)(41.0, 221.4, 5.6)
(-0.2, 0.0, -0.1)(39.7, 219.9, 359.1)
(-0.2, 0.0, -0.1)(39.7, 223.0, 11.2)
(-0.2, 0.0, -0.1)(38.4, 224.9, 15.9)
(-0.2, 0.0, -0.1)(37.2, 221.5, 357.3)
(-0.2, 0.0, -0.1)(33.2, 224.0, 16.8)
(-0.2, 0.0, -0.1)(35.0, 172.0, 166.9)
(-0.2, 0.0, -0.1)(39.6, 224.6, 8.4)
(-0.2, 0.0, -0.1)(34.3, 176.7, 167.9)
(-0.2, 0.0, -0.1)(31.7, 174.7, 162.1)
(-0.2, 0.0, -0.1)(36.5, 227.5, 12.6)
(-0.2, 0.0, -0.1)(38.3, 228.7, 6.3)
(-0.2, 0.0, -0.1)(35.8, 228.4, 5.8)
(-0.2, 0.0, -0.1)(36.5, 229.5, 1.7)
(-0.2, 0.0, -0.1)(35.1, 231.6, 9.7)
(-0.2, 0.0, -0.1)(35.2, 232.2, 11.3)
(-0.2, 0.0, -0.1)(34.3, 227.3, 350.3)
(-0.2, 0.0, -0.1)(34.3, 227.3, 350.3)
(-0.2, 0.0, -0.1)(24.2, 235.2, 16.3)
(-0.2, 0.0, -0.1)(36.8, 232.6, 358.7)
(-0.2, 0.0, -0.1)(37.8, 234.2, 1.6)
(-0.2, 0.0, -0.1)(35.6, 234.4, 0.8)
(-0.2, 0.0, -0.1)(34.2, 234.3, 1.0)
(-0.2, 0.0, -0.1)(23.4, 236.7, 13.2)
(-0.2, 0.0, -0.1)(29.6, 185.0, 167.1)
(-0.2, 0.0, -0.1)(34.4, 233.2, 356.2)
(-0.2, 0.0, -0.1)(27.3, 233.8, 4.4)
(-0.2, 0.0, -0.1)(19.8, 235.6, 11.1)
